doi,geo_demographic_source,country_code,geo_demographic_total
10.1080/00207594.2012.680460,twitter,US,3
10.1080/00207594.2012.680460,twitter,NL,1
10.1080/00207594.2012.680460,twitter,NO,1
10.1080/00207594.2012.680460,twitter,IE,1
10.1080/00207594.2012.680460,twitter,ES,1
10.1080/00207594.2012.680460,twitter,GB,3
10.1080/00207594.2012.680460,mendeley,PL,1
10.1080/00207594.2012.680460,mendeley,US,1
10.1080/00207594.2012.680460,mendeley,ES,3
10.1080/00207594.2012.680460,mendeley,GB,1
10.1016/j.jinteco.2012.08.005,mendeley,IN,1
10.1016/j.jinteco.2012.08.005,mendeley,JP,1
10.1016/j.jinteco.2012.08.005,mendeley,FR,2
10.1016/j.jinteco.2012.08.005,mendeley,SE,2
10.1016/j.jinteco.2012.08.005,mendeley,CO,1
10.1016/j.jinteco.2012.08.005,mendeley,BR,1
10.1017/s0266462313000251,twitter,US,1
10.1021/es402618m,twitter,DE,3
10.1021/es402618m,twitter,CN,1
10.1021/es402618m,twitter,US,1
10.1021/es402618m,twitter,AU,1
10.1021/es402618m,twitter,SE,2
10.1021/es402618m,twitter,GB,14
10.5172/impp.2013.15.2.149,twitter,NZ,1
10.5172/impp.2013.15.2.149,twitter,AU,1
10.5172/impp.2013.15.2.149,twitter,US,6
10.5172/impp.2013.15.2.149,twitter,GB,1
10.5172/impp.2013.15.2.149,twitter,BR,1
10.5172/impp.2013.15.2.149,mendeley,IT,1
10.5172/impp.2013.15.2.149,mendeley,IE,2
10.5172/impp.2013.15.2.149,mendeley,GB,1
10.1038/sc.2012.177,twitter,ES,1
10.1371/journal.pone.0078737,twitter,FI,1
10.1371/journal.pone.0078737,twitter,DE,2
10.1371/journal.pone.0078737,twitter,DK,1
10.1371/journal.pone.0078737,twitter,CO,1
10.1371/journal.pone.0078737,twitter,MX,1
10.1371/journal.pone.0078737,twitter,ES,1
10.1371/journal.pone.0078737,twitter,SE,1
10.1371/journal.pone.0078737,twitter,KE,1
10.1371/journal.pone.0078737,twitter,CA,2
10.1371/journal.pone.0078737,twitter,US,8
10.1371/journal.pone.0078737,twitter,AU,2
10.1371/journal.pone.0078737,twitter,CH,1
10.1371/journal.pone.0078737,twitter,BR,2
10.1371/journal.pone.0078737,twitter,FR,1
10.1371/journal.pone.0078737,twitter,GB,7
10.1371/journal.pone.0078737,mendeley,RU,1
10.1371/journal.pone.0078737,mendeley,TW,1
10.1371/journal.pone.0078737,mendeley,US,1
10.1371/journal.pone.0078737,mendeley,FR,1
10.1371/journal.pone.0078737,mendeley,AU,1
10.1371/journal.pone.0078737,mendeley,DK,1
10.1371/journal.pone.0078737,mendeley,PL,1
10.1371/journal.pone.0078737,mendeley,BR,1
10.1371/journal.pone.0078737,mendeley,MX,1
10.1371/journal.pone.0078737,mendeley,GB,2
10.1371/journal.pone.0078737,mendeley,CA,1
10.3310/hta17390,mendeley,DE,1
10.3310/hta17390,mendeley,CH,1
10.3310/hta17390,mendeley,US,1
10.3310/hta17390,mendeley,GB,1
