doi,altmetric_id,altmetric_score,type,article_title,journal_title,journal_volume,journal_issue,page_starts,page_ends,publisher,altmetric_journal_id,total_mentions,print_publication_date,first_seen_on_date,last_mentioned_date,first_author,pdf_url,uri,mendeley_url
10.1080/00207594.2012.680460,811291,13.9,article,The dark side of technologies: Technostress among users of information and communication technologies.,International Journal of Psychology,48,3,422,436,Psychology Press,4f6fa4d73cf058f6100012af,14,2012-06-25T00:00:00+00:00,2012-06-27T10:11:19+00:00,2018-06-22T13:45,Marisa Salanova,http://onlinelibrary.wiley.com/doi/10.1080/00207594.2012.680460/pdf,NA,http://www.mendeley.com/research/dark-side-technologies-technostress-among-users-information-communication-technologies
10.1080/02692171.2012.736479,1298193,3.5,article,Canada–US productivity gap: the role of competition intensity differential,International Review of Applied Economics,NA,NA,1,25, Routledge ,4f6fa4da3cf058f610001553,2,2013-03-12T00:00:00+00:00,2013-03-13T09:17:26+00:00,2018-06-07T15:31,Malick Souare,NA,NA,http://www.mendeley.com/research/canadaus-productivity-gap-role-competition-intensity-differential
10.1016/j.jinteco.2012.08.005,27286888,3.0,article,Productivity and the decision to import and export: Theory and evidence,Journal of International Economics,NA,NA,NA,NA,NA,4f6fa5963cf058f610005032,2,2013-03-01T00:00:00+00:00,2017-10-11T05:38:54+00:00,2018-04-17T01:00,Hiroyuki Kasahara,NA,NA,http://www.mendeley.com/research/productivity-decision-import-export-theory-evidence
10.1017/s0266462313000251,1632863,3.75,article,NEW ANTICOAGULANTS AS THROMBOPROPHYLAXIS AFTER TOTAL HIP OR KNEE REPLACEMENT,International Journal of Technology Assessment in Health Care,29,03,234,NA,Cambridge University Press,4f6fa6003cf058f610006257,4,2013-01-01T00:00:00+00:00,2013-07-18T11:26:48+00:00,2018-03-20T16:49,Vida Hamidi,http://journals.cambridge.org/article_S0266462313000251,NA,http://www.mendeley.com/research/new-anticoagulants-thromboprophylaxis-after-total-hip-knee-replacement-3
10.1021/es402618m,1792151,29.2,article,Carbon Emissions of Infrastructure Development,Environmental Science & Technology,NA,NA,130923080900007,NA,American Chemical Society,4f6fa4eb3cf058f6100027ef,39,2013-09-23T00:00:00+00:00,2013-09-30T15:30:37+00:00,2018-03-06T00:00,Daniel B. Müller,https://www.researchgate.net/profile/Daniel_Mueller11/publication/256927742_Carbon_Emissions_of_Infrastructure_Development/links/004635282cf98ba46b000000.pdf,NA,http://www.mendeley.com/research/carbon-emissions-infrastructure-development-14
10.5172/impp.2013.15.2.149,2194478,186.43,article,Gender diversity within R&D teams: Its impact on radicalness of innovation,"Innovation: Management, Policy & Practice",15,2,149,160,Routledge,4f6fa5b63cf058f61000547c,42,2013-06-01T00:00:00+00:00,2014-03-18T15:11:47+00:00,2018-06-22T16:28,Cristina Díaz-García,NA,NA,http://www.mendeley.com/research/gender-diversity-within-r-d-teams-impact-radicalness-innovation
10.1038/sc.2012.177,1320089,4.25,article,www.elearnSCI.org: a global educational initiative of ISCoS,Spinal Cord,51,3,176,182,Nature Publishing Group,4f6fa5143cf058f6100035a6,3,2013-03-01T00:00:00+00:00,2013-03-25T16:06:44+00:00,2018-02-01T00:00,H S Chhabra,https://www.nature.com/articles/sc2012177.pdf,http://www.nature.com/doifinder/10.1038/sc.2012.177,http://www.mendeley.com/research/wwwelearnsciorg-global-educational-initiative-iscos
10.1371/journal.pone.0078737,1902085,29.3,article,Biological Diversity in the Patent System,PLoS ONE,8,11,e78737,NA,Public Library of Science,4f6fa5313cf058f6100043e3,69,2013-01-01T00:00:00+00:00,2013-11-13T09:11:34+00:00,2018-01-23T00:00,Paul Oldham,http://dx.plos.org/10.1371/journal.pone.0078737.pdf,NA,http://www.mendeley.com/research/biological-diversity-patent-system
10.3310/hta17390,32232216,3.0,article,Cancer of Oesophagus or Gastricus – New Assessment of Technology of Endosonography (COGNATE): report of pragmatic randomised trial,Health technology assessment : HTA / NHS R & D HTA Programme.,17,39,NA,NA,NA,4f6fa5e73cf058f61000592b,1,2013-09-14T23:00:00+00:00,2018-01-26T07:49:45+00:00,2018-01-16T15:55,IT Russell,NA,NA,http://www.mendeley.com/research/cancer-oesophagus-gastricus-new-assessment-technology-endosonography-cognate-report-pragmatic-random
10.1038/nclimate1970,1866592,74.9,article,The role of coastal plant communities for climate change mitigation and adaptation,Nature Climate Change,3,11,961,968,Nature Publishing Group,4f6fa62e3cf058f610008256,46,2013-10-29T00:00:00+00:00,2013-10-29T10:55:04+00:00,2017-12-04T09:11,Carlos M. Duarte,http://www.nature.com/articles/nclimate1970.pdf,NA,http://www.mendeley.com/research/role-coastal-plant-communities-climate-change-mitigation-adaptation-17
