doi,title,known_to_be_open,open_access_status
10.1016/j.resourpol.2013.09.010,An analysis of factors leading to the establishment of a social licence to operate in the mining industry,FALSE,NA
10.1007/s10561-013-9397-6,Business oriented EU human cell and tissue product legislation will adversely impact Member States’ health care systems,TRUE,Open Access at publisher
10.1038/nrrheum.2013.141,Platelet-rich plasma for managing pain and inflammation in osteoarthritis,FALSE,NA
10.1038/nclimate1970,The role of coastal plant communities for climate change mitigation and adaptation,TRUE,Open Access at repository
10.1021/es402618m,Carbon emissions of infrastructure development.,FALSE,NA
10.1016/j.envpol.2013.06.003,Environmental concentrations of engineered nanomaterials: Review of modeling and analytical studies,FALSE,NA
10.3310/hta17390,Cancer of Oesophagus or Gastricus - New Assessment of Technology of Endosonography (COGNATE): report of pragmatic randomised trial.,TRUE,Open Access at publisher
10.1136/annrheumdis-2012-202745,EULAR recommendations for the non-pharmacological core management of hip and knee osteoarthritis,TRUE,Open Access at publisher
10.1017/s0266462313000251,NEW ANTICOAGULANTS AS THROMBOPROPHYLAXIS AFTER TOTAL HIP OR KNEE REPLACEMENT,TRUE,Open Access at publisher
10.1016/j.rser.2013.02.019,A review on development of industrial processes and emerging techniques for production of hydrogen from renewable and sustainable sources,FALSE,NA
10.5172/impp.2013.15.2.149,Gender diversity within R&D teams: Its impact on radicalness of innovation,FALSE,NA
10.1080/00207594.2012.680460,The dark side of technologies: Technostress among users of information and communication technologies,TRUE,Open Access at repository
10.1007/s10384-012-0227-3,Agreement between frequency-doubling technology perimetry and Heidelberg retinal tomography 3,FALSE,NA
10.1080/02692171.2012.736479,Canada–US productivity gap: The role of competition intensity differential,FALSE,NA
10.1016/j.retrec.2012.06.038,How much can public private partnership really do for urban transport in developing countries?,FALSE,NA
10.1016/j.techfore.2012.08.007,Adoption of interrelated sustainable agricultural practices in smallholder systems: Evidence from rural Tanzania,FALSE,NA
10.1016/j.jinteco.2012.08.005,Productivity and the decision to import and export: Theory and evidence,TRUE,Open Access at repository
10.1038/sc.2012.177,www.elearnSCI.org: a global educational initiative of ISCoS,FALSE,NA
