doi,total,history_1y,history_6m,history_3m,history_1m,history_1w,history_6d,history_5d,history_4d,history_3d,history_2d,history_1d,context_all_total_articles,context_all_mean,context_all_rank,context_all_scored_higher_than_pct,context_all_scored_higher_than,context_all_rank_type,context_all_percentile,context_similar_age_3m_total_articles,context_similar_age_3m_mean,context_similar_age_3m_rank,context_similar_age_3m_scored_higher_than_pct,context_similar_age_3m_scored_higher_than,context_similar_age_3m_rank_type,context_similar_age_3m_percentile,context_this_journal_total_articles,context_this_journal_mean,context_this_journal_rank,context_this_journal_scored_higher_than_pct,context_this_journal_scored_higher_than,context_this_journal_rank_type,context_this_journal_percentile,context_similar_age_this_journal_3m_total_articles,context_similar_age_this_journal_3m_mean,context_similar_age_this_journal_3m_rank,context_similar_age_this_journal_3m_scored_higher_than_pct,context_similar_age_this_journal_3m_scored_higher_than,context_similar_age_this_journal_3m_rank_type,context_similar_age_this_journal_3m_percentile
10.1080/00207594.2012.680460,13.9,3,3,3,3,0,0,0,0,0,0,0,11410257,7.3065972416268,815268,92,10593938,exact,92,107353,6.0776712869812,7588,92,99760,exact,92,370,5.9441571815718,32,91,338,exact,91,12,0.95454545454545,1,91,11,exact,91
10.1080/02692171.2012.736479,3.5,3,3,3,0,0,0,0,0,0,0,0,11437593,7.3239655943193,2991419,73,8389831,exact,73,128853,6.8641350076057,32732,73,95045,exact,73,200,3.338824120603,21,89,178,exact,89,6,1.9532,2,66,4,exact,66
10.1016/j.jinteco.2012.08.005,3,3,3,3,0,0,0,0,0,0,0,0,10796581,7.2836457843023,2891874,52,5624269,exact,52,262984,12.849768030633,91198,64,169144,exact,64,764,5.5640629095675,329,16,125,exact,16,12,2.8227272727273,3,75,9,exact,75
10.1017/s0266462313000251,3.75,3,3,0,0,0,0,0,0,0,0,0,11378944,7.2651258832976,2892855,74,8464077,exact,74,135789,7.3100036380241,32616,75,102785,exact,75,715,3.9213305322129,153,78,560,exact,78,5,6.5625,2,60,3,exact,60
10.1021/es402618m,29.2,4.6,3,0,0,0,0,0,0,0,0,0,11251144,7.2292783149116,396937,96,10855113,exact,96,148425,7.3417991968956,6449,95,141974,exact,95,11553,10.581209660665,680,94,10874,exact,94,222,10.338515837104,21,90,201,exact,90
10.5172/impp.2013.15.2.149,186.43,82.27,60.19,32.24,12.16,0,0,0,0,0,0,0,11410257,7.3065972416268,52846,99,11357331,exact,99,192615,7.9402118537596,1032,99,191583,exact,99,69,8.3680294117647,1,98,68,exact,98,1,0,1,1,0,exact,1
10.1038/sc.2012.177,4.25,3,3,0,0,0,0,0,0,0,0,0,9752643,7.539832467951,2208425,77,7527266,exact,77,125991,6.8908534963093,28112,77,97573,exact,77,1175,4.6969454855196,410,65,764,exact,65,15,1.3142857142857,2,86,13,exact,86
10.1371/journal.pone.0078737,29.3,3,3,0,0,0,0,0,0,0,0,0,11348501,7.2424001677653,398158,96,10950207,exact,96,156403,7.2970883364665,6541,95,149857,exact,95,126126,11.341901684837,8177,93,117943,exact,93,4058,14.100602908553,340,91,3718,exact,91
10.3310/hta17390,3,3,3,0,0,0,0,0,0,0,0,0,9693658,7.5051417416406,2609821,57,5558576,exact,57,252546,12.827918976816,89849,63,160929,exact,63,692,8.5283444283647,385,24,172,exact,24,9,10.575,8,11,1,exact,11
10.1038/nclimate1970,74.9,46.7,0,0,0,0,0,0,0,0,0,0,11361468,7.2509841440253,159726,98,11201761,exact,98,156177,7.2670097838338,2488,98,153688,exact,98,2361,75.390108474576,575,75,1786,exact,75,75,38.93127027027,13,82,62,exact,82
10.1136/annrheumdis-2012-202745,49.736,11.25,8.25,8.25,0,0,0,0,0,0,0,0,11419822,7.3160531041475,250539,97,11169359,exact,97,130587,7.0984054645981,2894,97,127693,exact,97,4470,8.0791550682479,93,97,4377,exact,97,140,5.9768057553957,3,97,137,exact,97
10.1038/nrrheum.2013.141,15.25,3,0,0,0,0,0,0,0,0,0,0,11316164,7.2360070233955,724484,93,10590187,exact,93,150531,7.3383598086762,11326,92,139165,exact,92,1359,8.5108586156112,189,86,1170,exact,86,33,5.315625,4,87,29,exact,87
10.1007/s10561-013-9397-6,4,3,0,0,0,0,0,0,0,0,0,0,10263476,7.4280327467926,2390002,75,7793390,exact,75,258156,12.64730532432,76166,70,181078,exact,70,113,2.1965178571429,16,85,97,exact,85,3,0.75,1,66,2,exact,66
10.1016/j.rser.2013.02.019,3,3,0,0,0,0,0,0,0,0,0,0,10033718,7.4932718387299,2707831,55,5615381,exact,55,239907,12.695096929631,83465,64,154306,exact,64,1648,4.907022465088,410,62,1027,exact,62,49,6.5344583333333,15,63,31,exact,63
10.1007/s10384-012-0227-3,3,3,0,0,0,0,0,0,0,0,0,0,9741287,7.531969085386,2626471,57,5585633,exact,57,267833,12.614316937483,92432,64,173043,exact,64,242,1.4240580912863,12,70,170,exact,70,3,1.175,1,66,2,exact,66
10.1007/s00417-012-2076-7,3.25,3,0,0,0,0,0,0,0,0,0,0,9741287,7.531969085386,2526637,73,7163067,exact,73,106174,6.272905559794,26959,73,78394,exact,73,838,2.5355005973716,83,89,750,exact,89,15,1.8285714285714,3,80,12,exact,80
10.1016/j.envpol.2013.06.003,15.5,3,0,0,0,0,0,0,0,0,0,0,9339536,7.5637168152267,669671,92,8669393,exact,92,133591,7.352224208399,10212,92,123347,exact,92,2918,6.4720651354131,185,93,2733,exact,93,32,2.642,1,96,31,exact,96
