doi,demographic_source,demographic_group_type,demographic_group_value,demographic_total
,altmetric,poster_types,researcher,1
,altmetric,poster_types,member_of_the_public,9
,altmetric,poster_types,science_communicator,1
,altmetric,poster_types,practitioner,1
10.1080/00207594.2012.680460,twitter,cohort,"Science communicators (journalists, bloggers, editors)",1
10.1080/00207594.2012.680460,twitter,cohort,Members of the public,9
10.1080/00207594.2012.680460,twitter,cohort,"Practitioners (doctors, other healthcare professionals)",1
10.1080/00207594.2012.680460,twitter,cohort,Scientists,1
10.1080/00207594.2012.680460,mendeley,by_status,Researcher,6
10.1080/00207594.2012.680460,mendeley,by_status,Student  > Bachelor,23
10.1080/00207594.2012.680460,mendeley,by_status,Lecturer,4
10.1080/00207594.2012.680460,mendeley,by_status,Student  > Doctoral Student,15
10.1080/00207594.2012.680460,mendeley,by_status,Professor > Associate Professor,6
10.1080/00207594.2012.680460,mendeley,by_status,Lecturer > Senior Lecturer,1
10.1080/00207594.2012.680460,mendeley,by_status,Unspecified,4
10.1080/00207594.2012.680460,mendeley,by_status,Professor,1
10.1080/00207594.2012.680460,mendeley,by_status,Other,5
10.1080/00207594.2012.680460,mendeley,by_status,Student  > Ph. D. Student,25
10.1080/00207594.2012.680460,mendeley,by_status,Student  > Postgraduate,3
10.1080/00207594.2012.680460,mendeley,by_status,Student  > Master,31
10.1080/00207594.2012.680460,mendeley,by_discipline,Sports and Recreations,2
10.1080/00207594.2012.680460,mendeley,by_discipline,Agricultural and Biological Sciences,1
10.1080/00207594.2012.680460,mendeley,by_discipline,Computer Science,10
10.1080/00207594.2012.680460,mendeley,by_discipline,Linguistics,1
10.1080/00207594.2012.680460,mendeley,by_discipline,Engineering,4
10.1080/00207594.2012.680460,mendeley,by_discipline,Psychology,32
10.1080/00207594.2012.680460,mendeley,by_discipline,Unspecified,7
10.1080/00207594.2012.680460,mendeley,by_discipline,Environmental Science,1
10.1080/00207594.2012.680460,mendeley,by_discipline,"Pharmacology, Toxicology and Pharmaceutical Science",1
10.1080/00207594.2012.680460,mendeley,by_discipline,Physics and Astronomy,2
10.1080/00207594.2012.680460,mendeley,by_discipline,Social Sciences,24
10.1080/00207594.2012.680460,mendeley,by_discipline,Medicine and Dentistry,7
10.1080/00207594.2012.680460,mendeley,by_discipline,"Economics, Econometrics and Finance",5
10.1080/00207594.2012.680460,mendeley,by_discipline,"Business, Management and Accounting",22
10.1080/00207594.2012.680460,mendeley,by_discipline,Mathematics,1
10.1080/00207594.2012.680460,mendeley,by_discipline,Arts and Humanities,3
10.1080/00207594.2012.680460,mendeley,by_discipline,"Biochemistry, Genetics and Molecular Biology",1
,altmetric,poster_types,member_of_the_public,1
10.1080/02692171.2012.736479,twitter,cohort,Members of the public,1
10.1080/02692171.2012.736479,mendeley,by_status,Lecturer > Senior Lecturer,1
10.1080/02692171.2012.736479,mendeley,by_status,Student  > Ph. D. Student,2
10.1080/02692171.2012.736479,mendeley,by_discipline,"Economics, Econometrics and Finance",1
10.1080/02692171.2012.736479,mendeley,by_discipline,"Business, Management and Accounting",2
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Researcher,19
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Student  > Bachelor,7
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Lecturer,2
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Student  > Doctoral Student,15
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Professor > Associate Professor,6
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Lecturer > Senior Lecturer,5
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Unspecified,2
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Professor,10
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Other,3
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Student  > Ph. D. Student,36
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Student  > Postgraduate,2
10.1016/j.jinteco.2012.08.005,mendeley,by_status,Student  > Master,20
10.1016/j.jinteco.2012.08.005,mendeley,by_discipline,"Business, Management and Accounting",14
10.1016/j.jinteco.2012.08.005,mendeley,by_discipline,Social Sciences,7
10.1016/j.jinteco.2012.08.005,mendeley,by_discipline,Engineering,4
10.1016/j.jinteco.2012.08.005,mendeley,by_discipline,Chemistry,1
10.1016/j.jinteco.2012.08.005,mendeley,by_discipline,"Economics, Econometrics and Finance",92
